"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"P1";"JST_PH_S3B-PH-K_03x2.00mm_Angled";1;"CONN_01X03";;;
2;"M1";"LED_PIRANHA_5MM";1;"LED_PIRANHA_5MM";;;
3;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
4;"RV1";"trimmer_alps-rk09k1130ah1";1;"POT";;;
5;"D1";"LED-5MM";1;"LED";;;
6;"Q1";"SOT-23";1;"Q_NPN_BCE";;;
7;"R1,R2";"R_0805";2;"1k";;;
8;"REF**,REF**";"MountingHole_3.2mm_M3";2;"MountingHole_3.2mm_M3";;;
9;"G***";"web";1;"LOGO";;;
10;"G***";"atom_small";1;"LOGO";;;
